Marca temporal;Institución;Unidad;Nombre Instrumento (Ej: Innovación Nacional);Nombre convocatoria (Ej: Innovación Nacional Region Metropolitana);URL;Descripción corta (Máximo 180 caracteres);Descripción larga ;Apoyo;Público;Requisitos;Permanente;Fecha Apertura (Sólo si no es permanente);Fecha Cierre (Sólo si no es permanente);Emergencias (¿La convocatoria nace de una catástrofe?);Región;Temática;Tributación;Etapa;Beneficio;Sexo registral;Tipo persona;Tamaño ventas;Rubro
8-1-2025 0:35:29;Corfo;Desarrollo Territorial;RED ASOCIATIVA – ETAPA DE DIAGNÓSTICO Y DESARROLLO 2023;RED ASOCIATIVA – REGIÓN DE O’HIGGINS – ETAPA DE DIAGNÓSTICO Y DESARROLLO 2023;https://corfo.cl/sites/cpp/convocatoria/red_asociativa_ohiggins_diagdesa/;Asesoría experta para grupos de empresas en O’Higgins;Cofinancia asesoría técnica para que grupos de empresas colaboren en aumentar su valor y acceder a nuevos mercados. Etapa en diagnóstico y desarrollo, subsidio regional.;Subsidio;Grupos de empresas (naturales o jurídicas) en O’Higgins;"Ser grupo colaborativo en O’Higgins
Empresas con giro activo
Postulación conjunta de al menos dos empresas
Presentar plan de colaboración y valor agregado";No;30-06-2023;30-12-2025;No;O’Higgins;Gestión Empresarial, Asociaciones y Redes;Primera categoría;Mejora tu gestión;Subsidio;Masculino, Femenino;Natural, Jurídica;Sin tamaño definido;Todos
8-1-2025 0:38:07;Corfo;Desarrollo Territorial;RED ASOCIATIVA – 1° CONVOCATORIA 2025 ETAPA DESARROLLO;RED ASOCIATIVA – REGIÓN METROPOLITANA – 1° CONVOCATORIA 2025 ETAPA DESARROLLO;https://corfo.cl/sites/cpp/convocatoria/red-asociativa-metropolitana-1ra-convocatoria-desarrollo-2025/;Cofinancia asesoría técnica colaborativa para pymes de la RM;Apoya agrupaciones de pymes en la Región Metropolitana que trabajan conjuntamente en diagnóstico, desarrollo de red y escala de mercado, mediante asesoría experta cofinanciada.;Subsidio;Grupos de empresas en la Región Metropolitana;"Mínimo dos pymes con giro activo y domicilio en RM
Presentación de plan asociativo
Postulación conjunta";Sí;;;No;Metropolitana;Gestión Empresarial, Asociaciones y Redes;Primera categoría;Mejora tu gestión, Crece;Subsidio;Masculino, Femenino;Natural, Jurídica;Pequeña, Mediana;Todos
8-1-2025 0:41:26;Corfo;Desarrollo Territorial;RED MERCADOS – 1° CONVOCATORIA 2025 ETAPA DIAGNÓSTICO;RED MERCADOS – REGIÓN DE ÑUBLE – 1° CONVOCATORIA 2025 ETAPA DIAGNÓSTICO;https://corfo.cl/sites/cpp/convocatoria/red-mercados-nuble-1ra-convocatoria-diagnostico-2025/;Cofinancia diagnóstico para red de empresas exportadoras en Ñuble;Apoya diagnóstico para redes de empresas que buscan exportar, con asesoría experta y cofinanciamiento hasta $4 M por proyecto para identificar brechas y mejorar competitividad.;Subsidio;Grupos de empresas (mínimo 2) domiciliadas en Ñuble y tributantes en 1ª categoría;"Ventas entre UF 2.400 y UF 100.000
No acceso habitual a exportación
Presentar plan y aplicar diagnóstico CORFO";No;09-04-2025;27-05-2025;No;Ñuble;Gestión Empresarial, Asociaciones y Redes;Primera categoría;Mejora tu gestión;Subsidio;Masculino, Femenino;Natural, Jurídica;Sin tamaño definido;Todos
8-1-2025 0:51:17;Corfo;Desarrollo Territorial;RED MERCADOS – ETAPA DE DIAGNÓSTICO Y DESARROLLO 2023;RED MERCADOS – REGIÓN DE O’HIGGINS – ETAPA DE DIAGNÓSTICO Y DESARROLLO 2023;https://corfo.cl/sites/cpp/convocatoria/red_mercados_ohiggins_diagndesar/;Diagnóstico y desarrollo de redes asociativas en O’Higgins;Cofinancia asesoría experta para grupos de empresas de O’Higgins, cubriendo hasta $4 M en diagnóstico y hasta 90 % del costo de desarrollo (tope $40 M) para fortalecer capacidades exportadoras.;Subsidio;Grupos de empresas (naturales o jurídicas) tributantes en 1ª categoría;"Grupo colaborativo en O’Higgins
Ventas anuales UF 2.400–100.000
No exportación habitual
Postulación conjunta y diagnóstico CORFO";No;30-06-2023;30-12-2025;No;O’Higgins;Nuevos Mercados, Asociaciones y Redes;Primera categoría;Mejora tu gestión, Crece;Subsidio;Masculino, Femenino;Natural, Jurídica;Sin tamaño definido;Todos
8-1-2025 0:54:03;Corfo;Desarrollo Territorial;RED MERCADOS – 1° CONVOCATORIA 2025 ETAPA DESARROLLO;RED MERCADOS – REGIÓN METROPOLITANA – 1° CONVOCATORIA 2025 ETAPA DESARROLLO;https://corfo.cl/sites/cpp/convocatoria/red-mercados-metropolitana-1ra-convocatoria-desarrollo-2025/;Cofinancia desarrollo de redes exportadoras en RM;Apoya agrupaciones de empresas en la Región Metropolitana mediante asesorías para diseñar, implementar y consolidar redes de exportación. Cofinancia hasta 90 % del costo, con tope por proyecto.;Subsidio;Grupos de empresas tributantes en 1ª categoría, domiciliadas en RM, enfocadas en exportación;"Grupo mínimo de 2 empresas en RM
Ventas entre UF 2.400 y UF 100.000
No exportación habitual
Presentar plan de red y fases de desarrollo";Sí;;;No;Metropolitana;Nuevos Mercados, Asociaciones y Redes;Primera categoría;Mejora tu gestión, Crece;Subsidio;Masculino, Femenino;Natural, Jurídica;Sin tamaño definido;Todos
8-4-2025 19:09:09;Corfo;Desarrollo Territorial;RED PROVEEDORES – ETAPA DE DIAGNÓSTICO Y DESARROLLO 2023;RED PROVEEDORES – REGIÓN DE O’HIGGINS – ETAPA DE DIAGNÓSTICO Y DESARROLLO 2023;https://corfo.cl/sites/cpp/convocatoria/red_proveedores_ohiggins_diagndesarrollo/;Cofinancia diagnóstico y desarrollo para cadenas de proveedores en O’Higgins;Apoya empresas demandantes que trabajen con al menos 5 proveedores, financia hasta 50 % de diagnóstico (tope $10 M) y 40‑50 % de desarrollo (tope $50‑60 M), promoviendo cadenas colaborativas y sustentables.;Subsidio;Empresa demandante y sus proveedores en O’Higgins, tributantes de Primera categoría;"Demandante con ventas mayores a UF 25.000
Mínimo 5 empresas proveedoras con ventas inferiores a UF 100.000
Postulación conjunta demandante – proveedores
Plan de fortalecimiento de cadena productiva";No;30-06-2023;30-12-2025;No;O’Higgins;Asociaciones y Redes;Primera categoría;Mejora tu gestión, Crece;Subsidio;Masculino, Femenino;Natural, Jurídica;Sin tamaño definido;Todos
8-4-2025 19:13:25;Corfo;Desarrollo Territorial;RED PROVEEDORES – 1° CONVOCATORIA 2025 ETAPA DESARROLLO;RED PROVEEDORES – REGIÓN METROPOLITANA – 1° CONVOCATORIA 2025 ETAPA DESARROLLO;https://corfo.cl/sites/cpp/convocatoria/red-proveedores-metropolitana-1ra-convocatoria-desarrollo-2025/;Cofinancia redes de proveedores en RM;Apoya cadenas de empresas demandante/proveedor en RM con asesorías para diagnóstico, desarrollo y consolidación. Cofinancia hasta 50 % diagnóstico ($10 M) y 40‑50 % desarrollo ($60 M).;Subsidio;Demandante y sus proveedores tributantes de 1ª categoría en RM;"Empresa demandante con ventas mayores a UF 25.000
Mínimo 5 proveedores con ventas menores a UF 100.000
Postulación conjunta demandante‑proveedores
Plan de fortalecimiento de cadena";Sí;;;No;Metropolitana;Asociaciones y Redes;Primera categoría;Mejora tu gestión, Crece;Subsidio;Masculino, Femenino;Natural, Jurídica;Sin tamaño definido;Todos
8-4-2025 19:16:58;Corfo;Desarrollo Territorial;Red Tecnológica GTT+;Red Tecnológica GTT+;https://corfo.cl/sites/cpp/convocatoria/gtt/;Cofinancia proyectos tecnológicos en redes de productores.;Línea de apoyo para conformar redes tecnológicas (GTT) en sectores productivos, con asistencia técnica y transferencia tecnológica. Cofinancia hasta 80 % del costo total.;Subsidio;Agencias u organizaciones intermediarias + redes de empresas del mismo sector;"Ser persona jurídica intermediaria acreditada
Presentar propuesta con red mínima de empresas
Experiencia y equipo calificado Plan de transferencia tecnológica";Sí;;;No;Nacional;Tecnología y Digitalización, Asociaciones y Redes;Primera categoría;Mejora tu gestión, Crece;Subsidio;Masculino, Femenino;Jurídica;Sin tamaño definido;Todos
8-4-2025 19:20:52;Corfo;Desarrollo Territorial;RED TECNOLÓGICA GTT+ – ETAPA DE DIAGNÓSTICO Y DESARROLLO 2023;RED TECNOLÓGICA GTT+ – REGIÓN DE O’HIGGINS – ETAPA DE DIAGNÓSTICO Y DESARROLLO 2023;https://corfo.cl/sites/cpp/convocatoria/red_tecnologica_gtt_oh_diag_desar/;Subsidio para redes tecnológicas en O’Higgins;Cofinancia diagnóstico y desarrollo de redes tecnológicas de empresas en O’Higgins, con asistencia técnica y transferencia de innovación para fortalecimiento productivo.;Subsidio hasta 80 % del costo del proyecto;Organizaciones intermedias y redes de empresas del mismo sector;"Ser persona jurídica intermediaria acreditada
Propuesta con red mínima de empresas
Experiencia en transferencia tecnológica";No;30-06-2023;30-12-2025;No;O’Higgins;Tecnología y Digitalización, Asociaciones y Redes;Primera categoría;Mejora tu gestión, Crece;Subsidio;Masculino, Femenino;Jurídica;Sin tamaño definido;Todos
8-4-2025 19:24:24;Corfo;Innovación;Solicitud previa de aprobación de proyectos de I+D – artículo 41 G LIR;Solicitud previa de aprobación de proyectos de I+D – artículo 41 G LIR;https://corfo.cl/sites/cpp/convocatoria/solicitud_aprobacion_proyectos_excepcion_rentas_pasivas/;Aprobación técnica para que renta I+D no se considere pasiva según LIR;Procedimiento para que contribuyentes controlen entidades extranjeras y obtengan aprobación de CORFO para proyectos I+D que eviten calificación como “rentas pasivas” según letra C nº3 art. 41 G de la LIR, con evaluación técnica y formal de requisitos.;Validación técnica de proyectos I+D (no se entrega apoyo financiero directo);Contribuyentes o patrimonios domiciliados en Chile que controlen entidades extranjeras llevando a cabo I+D;"Control de entidad extranjera
Presentar solicitud formal en sistema CORFO
Incluir detalles del proyecto, plazos, presupuesto
Formular declaración jurada y documentación legal del solicitante
Cumplir definiciones legales de I+D según Ley 20.241 y Circular SII Nº 45/2020";Sí;;;No;Nacional;Gestión Empresarial;Primera categoría;Mejora tu gestión;Garantía;Masculino, Femenino;Natural, Jurídica;Sin tamaño definido;Todos
8-4-2025 19:27:57;Corfo;Innovación;Solicitud previa de certificación de acuerdos – artículo 14 LIR;Solicitud previa de certificación de acuerdos – artículo 14 LIR;https://corfo.cl/sites/cpp/convocatoria/certificacion_acuerdo_financiamiento_participacion_pyme/;Aval técnico para proyectos de financiamiento mediante participación en PYMEs.;Procedimiento para que PYMEs que reciben financiamiento mediante participación puedan certificar al SII que sus rentas derivadas de I+D no se consideran pasivas según artículo 14 letra D de la LIR, mediante revisión técnica de CORFO.;Garantía tributaria;Personas naturales o jurídicas que controlan entidades extranjeras y reciben financiamiento mediante participación para proyectos I+D;"Ser contribuyente que controle entidad extranjera con proyecto I+D
Financiamiento bajo régimen Pro‑PYME artículo 14 letra D LIR
Presentar solicitud en línea con antecedentes técnicos y legales
Cumplir definiciones legales de I+D";Sí;;;No;Nacional;Gestión Empresarial;Primera categoría;Mejora tu gestión;Garantía;Masculino, Femenino;Natural, Jurídica;Pequeña, Mediana;Todos
8-4-2025 19:32:23;Corfo;Desarrollo Territorial;VIRALIZA – 2025, CATEGORIA “FORMACIÓN PARA EL EMPRENDIMIENTO Y LA INNOVACION” – LOGÍSTICA;VIRALIZA – MAGALLANES 2025, CATEGORIA “FORMACIÓN PARA EL EMPRENDIMIENTO Y LA INNOVACION” – LOGÍSTICA;https://corfo.cl/sites/cpp/convocatoria/viraliza-magallanes-formacion-emprendimiento-innovacion-2025-2/;Formación en emprendimiento e innovación logística en Magallanes;Programa de formación orientado a fortalecer capacidades logísticas y de gestión estratégica de personas naturales y MIPYMEs en la Región de Magallanes, enfocándose en iniciativas emprendedoras, nuevos modelos de negocio o procesos de transformación productiva con potencial de escalamiento.;Subsidio;Personas naturales mayores de 18 años con idea o negocio en funcionamiento, y personas jurídicas constituidas en Chile con ventas anuales menores a $800.000.000;"Persona jurídica constituida en Chile con antigüedad mínima de 2 años
Emprendimientos innovadores con potencial de alto crecimiento";No;24-06-2025;24-07-2025;No;Magallanes;Gestión Empresarial, Nuevos Mercados;Primera categoría;Crea tu negocio;Subsidio;Masculino, Femenino;Natural, Jurídica;Micro, Pequeña, Mediana;Todos
8-4-2025 19:36:15;Corfo;Desarrollo Territorial;Viraliza Formación Crisis Climática;Viraliza Formación Crisis Climática;https://corfo.cl/sites/cpp/convocatoria/viraliza-formacion-crisis-climatica/;Formación en resiliencia climática para emprendimientos;Programa de formación teórico-práctica y presencial dirigido a emprendedores y MIPYMEs en regiones afectadas por crisis climática, con foco en sostenibilidad y adaptación medioambiental.;Subsidio;Personas naturales mayores de 18 años con negocio en funcionamiento previo a formalización y/o personas jurídicas constituidas en Chile con ventas de hasta $800.000.000;"Persona jurídica constituida en Chile con antigüedad mínima de 2 años
Emprendimientos innovadores con potencial de alto crecimiento";No;24-06-2025;28-07-2025;No;Nacional;Gestión Empresarial, Sustentabilidad;Primera categoría;Mejora tu gestión;Subsidio;Masculino, Femenino;Natural, Jurídica;Micro, Pequeña, Mediana;Todos
8-4-2025 19:39:31;Corfo;Desarrollo Territorial;Viraliza Formación Desarrollo Ecosistemas Regionales;Viraliza Formación Desarrollo Ecosistemas Regionales;https://corfo.cl/sites/cpp/convocatoria/viraliza-formacion-desarrollo-ecosistemas-regionales-2025/;Formación para fortalecer ecosistemas regionales de emprendimiento;Programa que busca fortalecer la articulación entre actores del ecosistema de emprendimiento dinámico del territorio, promoviendo la colaboración en torno a un desafío común establecido para cada territorio.;Subsidio;Personas jurídicas constituidas o creadas en Chile, con una antigüedad mínima de dos años al momento de la postulación.;"Persona jurídica constituida en Chile con antigüedad mínima de dos años
El programa de formación debe estar enfocado y dirigido a representantes de entidades del ecosistema, personas naturales mayores de 18 años con ideas de negocios o negocios en funcionamiento y personas jurídicas constituidas en Chile.";No;24-06-2025;28-07-2025;No;Nacional;Asociaciones y Redes, Sustentabilidad;Primera categoría;Mejora tu gestión;Subsidio;Masculino, Femenino;Jurídica;Sin tamaño definido;Todos
8-4-2025 19:44:20;Corfo;Desarrollo Territorial;Viraliza Formación Desde El Emprendimiento A la Mentoría;Viraliza Formación Desde El Emprendimiento A la Mentoría;https://corfo.cl/sites/cpp/convocatoria/viraliza-formacion-emprendimiento-mentoria-2025/;Formación para emprendedores que buscan formarse como mentores/as;Programa de formación teórico-práctico y presencial dirigido a emprendedores que deseen formarse como mentores/as, con el objetivo de fortalecer el ecosistema emprendedor regional.;Subsidio;Personas jurídicas constituidas o creadas en Chile, con una antigüedad mínima de dos años al momento de la postulación.;"Persona jurídica constituida en Chile con antigüedad mínima de dos años
El programa de formación debe estar enfocado y dirigido a personas naturales, mayores de 18 años, que cuenten o hayan contado con un negocio en funcionamiento y/o personas jurídicas constituidas en Chile.";No;24-06-2025;28-07-2025;No;Nacional;Gestión Empresarial;Primera categoría;Crea tu negocio;Subsidio;Masculino, Femenino;Jurídica;Sin tamaño definido;Todos
8-4-2025 19:49:01;Corfo;Desarrollo Territorial;Viraliza Formación Finanzas para Startups;Viraliza Formación Finanzas para Startups;https://corfo.cl/sites/cpp/convocatoria/viraliza-formacion-finanzas-startups-2025/;Formación en finanzas para startups;Programa de formación teórico-práctica y presencial dirigido a emprendedores y MIPYMEs, con el objetivo de fortalecer sus capacidades en gestión financiera, incluyendo planificación, control y acceso a financiamiento.;Subsidio;Personas naturales mayores de 18 años con idea o negocio en funcionamiento, y personas jurídicas constituidas en Chile con ventas anuales menores a $800.000.000;"Persona jurídica constituida en Chile con antigüedad mínima de 2 años
Emprendimientos innovadores con potencial de alto crecimiento";No;24-06-2025;28-07-2025;No;Nacional;Gestión Empresarial;Primera categoría;Mejora tu gestión;Subsidio;Masculino, Femenino;Natural, Jurídica;Micro, Pequeña, Mediana;Todos
8-4-2025 19:53:29;Corfo;Desarrollo Territorial;VIRALIZA: “DIFUSIÓN – EVENTOS”;VIRALIZA: “DIFUSIÓN – EVENTOS” ARICA Y PARINACOTA;https://corfo.cl/sites/cpp/convocatoria/viraliza-difusion-eventos-arica-parinacota-2025/;Formación en emprendimiento e innovación en Arica y Parinacota;Programa de formación orientado a fortalecer capacidades logísticas y de gestión estratégica de personas naturales y MIPYMEs en la Región de Arica y Parinacota, enfocándose en iniciativas emprendedoras, nuevos modelos de negocio o procesos de transformación productiva con potencial de escalamiento.;Subsidio;Personas naturales mayores de 18 años con idea o negocio en funcionamiento, y personas jurídicas constituidas en Chile con ventas anuales menores a $800.000.000;"Persona jurídica constituida en Chile con antigüedad mínima de 2 años
 Emprendimientos innovadores con potencial de alto crecimiento";No;04-07-2025;01-08-2025;No;Arica y Parinacota;Gestión Empresarial;Primera categoría;Formalízate, Mejora tu gestión;Subsidio;Masculino, Femenino;Natural, Jurídica;Micro, Pequeña, Mediana;Todos
8-4-2025 19:57:46;Corfo;Desarrollo Territorial;VIRALIZA: CATEGORÍA DIFUSIÓN DEL EMPRENDIMIENTO Y LA INNOVACIÓN, EVENTOS;VIRALIZA: CATEGORÍA DIFUSIÓN DEL EMPRENDIMIENTO Y LA INNOVACIÓN, REGIÓN DE ATACAMA 2025″, EVENTOS;https://corfo.cl/sites/cpp/convocatoria/viraliza-difusion-emprendimiento-innovacion-atacama-eventos-2025/;Eventos masivos para promover el emprendimiento e innovación en Atacama;Convocatoria para generar eventos masivos, de forma presencial, que promuevan el intercambio de conocimientos, generación de redes y traspaso de buenas prácticas relacionadas al emprendimiento y la innovación con la finalidad de acelerar el desarrollo y fortalecimiento de los ecosistemas de emprendimiento dinámico de la Región de Atacama.;Subsidio;Personas jurídicas constituidas o creadas en Chile;"Ser persona jurídica constituida o creada en Chile
Presentar propuesta para la realización de eventos masivos presenciales en la Región de Atacama";No;23-06-2025;23-07-2025;No;Atacama;Asociaciones y Redes, Innovación;Primera categoría;Crea tu negocio;Subsidio;Masculino, Femenino;Jurídica;Sin tamaño definido;Otras Actividades de servicios
8-4-2025 20:02:19;Corfo;Desarrollo Territorial;VIRALIZA: CATEGORÍA FORMACIÓN PARA EL EMPRENDIMIENTO Y LA INNOVACIÓN, 2025;VIRALIZA: CATEGORÍA FORMACIÓN PARA EL EMPRENDIMIENTO Y LA INNOVACIÓN, REGIÓN DE ATACAMA 2025;https://corfo.cl/sites/cpp/convocatoria/viraliza-formacion-emprendimiento-innovacion-atacama-2025/;Formación teórico-práctica presencial para emprendedores en Atacama;Programa de formación orientado a fortalecer capacidades de emprendimiento e innovación en la Región de Atacama, dirigido a emprendedores con ideas de negocio o negocios en funcionamiento o formalizados.;Subsidio;Personas jurídicas constituidas o creadas en Chile con antigüedad mínima de dos años al momento de la postulación.;"Persona jurídica constituida o creada en Chile con antigüedad mínima de dos años al momento de la postulación
Dirigido a emprendedores con ideas de negocio o negocios en funcionamiento o formalizados.";No;23-06-2025;23-07-2025;No;Atacama;Gestión Empresarial, Innovación;Primera categoría;Crea tu negocio, Formalízate;Subsidio;Masculino, Femenino;Jurídica;Sin tamaño definido;Todos
8-4-2025 20:06:26;Anid;Subdirección de Investigación Aplicada;Startup Ciencia 2026;Startup Ciencia 2026;https://anid.cl/concursos/startup-ciencia-2026/;Apoyo a empresas de base científico-tecnológica en etapa temprana.;Concurso que cofinancia y apoya técnicamente el desarrollo tecnológico, innovación y validación de nuevos productos/servicios, facilitando su entrada a mercados nacionales/internacionales.;Cofinanciamiento y apoyo técnico;Empresas de base científico-tecnológica constituidas en Chile con menos de 10 años, ventas anuales menores a 25.000 UF;"Persona jurídica constituida en Chile con o sin fines de lucro
Menos de 10 años de constitución
Ventas anuales menores a 25.000 UF
Equipo mínimo de 3 personas con dedicación específica
Aporte pecuniario mínimo del 15% del costo total del proyecto (10% si liderado por mujeres o en regiones distintas a la Metropolitana)";No;10-07-2025;10-09-2025;No;Nacional;Tecnología y Digitalización, Nuevos Mercados, Innovación;Primera categoría;Crece;Subsidio;Masculino, Femenino;Jurídica;Micro, Pequeña;Todos
8-4-2025 20:12:40;Anid;Subdirección de Redes, Estrategia y Conocimiento;Programa de pasantías en el extranjero para profesionales y técnicos/as del sector energía Año 2025;Programa de pasantías en el extranjero para profesionales y técnicos/as del sector energía Año 2025;https://anid.cl/concursos/programa-de-pasantias-en-el-extranjero-para-profesionales-y-tecnicos-as-del-sector-energia-ano-2025/;Pasantías en el extranjero para fortalecer competencias en energía.;Financiamiento de pasantías (1–3 meses) en organismos internacionales o instituciones de primer nivel, centradas en hidrógeno verde, electromovilidad, transición justa y resiliencia energética. Inicia dentro de los 3 meses tras firma de convenio.;Subsidio total (viaje, viáticos, seguro, materiales, etc.);Profesionales y técnicos(as) chilenos/as o residentes permanentes en Chile, vinculados al sector energía (público o privado);"Profesional/técnico(a) con título reconocido
Residencia permanente (para extranjeros)
Postulación individual con CV, carta motivación, plan de trabajo, carta de aceptación y patrocinio
No tener otra beca ANID simultánea
En privado, elegir entidad no vinculada a empleador actual";No;04-06-2025;24-07-2025;No;Nacional;Tecnología y Digitalización;Segunda categoría;Mejora tu gestión;Subsidio;Masculino, Femenino;Natural;Sin tamaño definido;Suministro de electricidad, gas, vapor y aire acondicionado
8-4-2025 20:17:52;Anid;Subdirección de Investigación Aplicada;Desafíos Públicos 2025;Desafíos Públicos 2025;https://anid.cl/concursos/desafios-publicos-2025/;Fomenta soluciones innovadoras a problemas públicos con tecnología o I+D;Concurso en innovación abierta, estructurado en 4 etapas: formulación del desafío por instituciones públicas, desarrollo de bases y concursos abiertos, y financiamiento por etapas hasta desarrollo de prototipos TRL 7–8;Subsidio en etapas (hasta 80% cofinanciamiento);Organismos públicos (mandantes), y empresas/startups, universidades, investigadores, centros de I+D;"Mandantes: institución pública y equipo institucional paritario
Solucionadores: prototipo TRL 3 o TRL 4, entidades asociadas no vinculadas
No simultanear otras becas o subvenciones incompatibles";No;22-05-2025;09-07-2025;No;Nacional;Tecnología y Digitalización, Innovación;Primera categoría;Mejora tu gestión;Subsidio;Masculino, Femenino;Natural, Jurídica;Sin tamaño definido;Todos
8-4-2025 20:22:25;Anid;Subdirección de Investigación Aplicada;Concurso de Investigación Tecnológica IDeA 2025;Concurso de Investigación Tecnológica IDeA 2025;https://anid.cl/concursos/concurso-de-investigacion-tecnologica-idea-2025/;Apoyar el financiamiento de proyectos de investigación y desarrollo, que sustenten una hipótesis de aplicación tecnológica que, a través de la investigación, logren validarse a través de prototipos ;Apoyar el financiamiento de proyectos de investigación y desarrollo, con antecedentes que sustenten una hipótesis de aplicación de una tecnología, producto o servicio y que, con el desarrollo de la investigación, logren validarse a través de prototipos avanzados en el plazo de dos años. En la etapa de Investigación Tecnológica, se espera que los proyectos avancen hacia la obtención de resultados más próximos a su aplicación productiva o a su implementación en el plano social.;"Financiamiento hasta $237 millones.
Los proyectos deberán ser cofinanciados por la o las instituciones beneficiarias en, a lo menos, un 15% del monto solicitado como subsidio a la Agencia.
En caso de tener más de una entidad beneficiaria, cada beneficiaria secundaria deberá disponer de, al menos, un 20% del subsidio total solicitado. El financiamiento de la Agencia estará condicionado a un cofinanciamiento mínimo de un 15% del subsidio solicitado como aporte de las beneficiarias y a cofinanciamiento mínimo de un 30% del subsidio solicitado como aporte de todas las entidades asociadas. La suma total de los aportes de las asociadas debe ser, al menos, de un 30% del subsidio solicitado.";"Personas jurídicas nacionales sin fines de lucro, incluidas universidades e instituciones de educación superior reconocidas por el Estado; institutos tecnológicos y de investigación y desarrollo, tanto públicos como privados; y otras entidades que realicen actividades científico-tecnológicas y que tengan como objetivo, indicado expresamente en sus estatutos, la realización de actividades de investigación y desarrollo.";"Personas jurídicas nacionales sin fines de lucro, incluidas universidades e instituciones de educación superior reconocidas por el Estado; institutos tecnológicos y de investigación y desarrollo, tanto públicos como privados; y otras entidades que realicen actividades científico-tecnológicas y que tengan como objetivo, indicado expresamente en sus estatutos, la realización de actividades de investigación y desarrollo.         Cada proyecto deberá procurar la participación, bajo diferentes modalidades, de expertos, centros tecnológicos, instituciones y/o universidades nacionales y extranjeras con comprobada experiencia en la temática y que aporten a la ejecución de éste. Podrán postular a este concurso: Proyectos de investigación tecnológica precompetitivos. Proyectos de investigación tecnológica de interés público";No;21-11-2024;20-03-2025;No;Nacional;Gestión Empresarial, Tecnología y Digitalización, Nuevos Mercados, Asociaciones y Redes, Innovación, Sustentabilidad, Inversión;Primera categoría;Crece;Subsidio;Masculino, Femenino;Jurídica;Sin tamaño definido;Todos
8-4-2025 20:29:56;FIA;Desarrollo Empresarial;Proyectos de innovación de interés privado para el agro con énfasis regional;Proyectos de innovación de interés privado para el agro con énfasis regional;https://www.fia.cl/convocatorias/convocatoria-nacional-de-proyectos-de-innovacion-de-interes-privado-para-el-agro-con-enfasis-regional-2025-2026/;Apoyar el desarrollo de innovaciones en producto o servicio, con un mercado potencial a validar por empresas/organizaciones  del sector silvoagropecuario y/o la cadena agroalimentaria de la región.;"Los Proyectos de innovación de interés privado para el agro con énfasis regional, buscan apoyar el desarrollo de innovaciones en producto (bien o servicio) con un mercado potencial para su posterior comercialización y/o en proceso para ser efectivamente validado en las empresas/organizaciones relacionadas con del sector silvoagropecuario y/o la cadena agroalimentaria con reconocidas brechas, y prioritariamente a nivel regional. Enmarcarse en, al menos, uno de los tres lineamientos estratégicos de FIA
• Gestión sostenible de recursos hídricos.
• Adaptación y mitigación al cambio climático.
• Sistemas alimentarios sostenibles.";FIA aportará un financiamiento máximo de $120.000.000, equivalente al 80% del costo total de la propuesta y la contraparte deberá hacer un aporte mínimo del 20% del costo total de la propuesta compuesto por aportes pecuniarios y no pecuniarios.;Personas jurídicas nacionales (MYPE hasta 50.000 UF anuales, universidades, CFT, IP, centros de I+D inscritos en CORFO);"EI postulante debe ser una persona jurídica, con o sin fines de lucro
Estar constituido legalmente en chile
Tener la calidad de micro, pequeña o mediana empresa con o sin ventas desde cero hasta 50.000 UF anuales
Se exceptúan de este requisito las Universidades, Centros de formación Técnica (CFT) e institutos profesionales (IP) de educación superior reconocidas por el Estado y Centros de investigación y Desarrollo, inscritos en el registro CORFO
Contar con RUT e iniciación de actividades en un giro empresarial de primera categoría de la Ley de Rentas o sociedades de profesionales referidas en el artículo 42 N°2 de la Ley de Rentas, que hayan optado por declarar sus ventas de acuerdo con las normas de primera categoría
Estar relacionado con el sector silvoagropecuario y/a la cadena agroalimentaria
Contar con domicilio tributario, sede o sucursal en, a lo memos, una de las regiones donde se llevará a cabo la propuesta. En caso contrario, deberá presentarse con al menos un asociado persona jurídica con domicilio tributario, sede o sucursal, en a lo menos una de las regiones de ejecución de la propuesta.";No;27-05-2025;22-07-2025;No;Nacional;Nuevos Mercados, Innovación;Primera categoría;Mejora tu gestión, Crece;Subsidio;Masculino, Femenino;Natural, Jurídica;Micro, Pequeña, Mediana;Agricultura, ganadería, silvicultura y pesca
